Barcelo Corralejo Bay	Fuerteventura	g580322-d678447
Bull Reina Isabel & Spa	Gran Canaria	g187472-d231610
Evita Beach Aptos y Suites Exclusivas	La Graciosa	g1190272-d2645782
Apartamentos GraciosaMar	La Graciosa	g1190272-d945848
Apartamentos El Marinero - Iglesia	La Graciosa	g3360203-d23273570
Bahia del Duque	Tenerife	g662606-d248457
Parador de La Palma	La Palma	g642213-d482745
Booking Jardin Tecina	La Gomera	g1187912-d324473
Dreams Jardin Tropical	Tenerife	g662606-d248458
Parador de La Palma	La Palma	g642213-d482745
Parador de El Hierro	El Hierro	g187474-d277394
Secrets Lanzarote Resort & Spa	Lanzarote	g580321-d282759
Palm Beach Tenerife - Excel Hotels & Resort	Tenerife	g562820-d288275
Iberostar Selection Fuerteventura Palace	Fuerteventura	g659632-d288584
Roca Nivaria Gran Hotel - ADRIAN Hoteles	Tenerife	g2180527-d585074
Hotel Hacienda De Abajo	La Palma	g1177806-d3577949
Hotel Rural Triana	La Gomera	g1024999-d15811971
Dreams Lanzarote Playa Dorada Resort & Spa	Lanzarote	g652121-d262432
